pair_id,R_tau1,R_tau2,len_tau1,len_tau2,p_tau1_preferred,preferred
0,91.5008,-1.1342,158,999,1.000000,0
1,91.5898,92.4562,157,686,0.296004,0
2,91.4802,87.9550,157,722,0.971396,0
3,94.3133,91.8373,89,880,0.922442,0
4,94.3147,92.0424,89,958,0.906559,0
5,94.5508,89.7812,86,630,0.991588,0
6,91.3056,92.3103,160,803,0.268025,1
7,91.5564,91.8168,157,690,0.435275,1
8,94.3295,89.8775,89,552,0.988479,0
9,94.3263,91.8561,89,537,0.922022,0
10,90.4384,-1.1120,162,999,1.000000,0
11,94.4458,90.3182,87,704,0.984134,0
12,94.5313,92.7188,86,456,0.859659,0
13,94.0635,89.6144,93,631,0.988446,0
14,91.2977,-1.9410,160,999,1.000000,0
15,94.5603,92.6779,86,531,0.867889,0
16,94.1339,-3.3306,92,999,1.000000,0
17,94.4464,90.3589,87,971,0.983496,0
18,91.5823,92.7354,157,456,0.239924,1
19,93.9931,92.6039,94,458,0.800473,0
20,94.5565,91.6196,86,768,0.949642,0
21,91.4432,-3.5194,157,999,1.000000,0
22,94.4453,92.3733,87,609,0.888154,0
23,93.8035,92.2403,97,801,0.826813,0
24,91.5936,92.6022,157,608,0.267240,1
25,93.8622,-1.0954,96,999,1.000000,0
26,92.8389,92.3533,114,609,0.619072,1
27,93.8676,92.4481,96,532,0.805247,0
28,91.5919,92.3274,157,765,0.323993,1
29,92.0382,90.0257,126,781,0.882102,0
30,94.2570,92.6125,90,454,0.838144,0
31,90.7181,89.0057,159,559,0.847150,1
32,91.3934,91.0380,157,895,0.587939,1
33,94.3187,-1.1572,89,999,1.000000,0
34,90.2441,85.3032,168,597,0.992903,0
35,94.4449,-1.1007,87,999,1.000000,0
36,94.4466,92.3067,87,614,0.894719,0
37,94.4469,-1.1715,87,999,1.000000,0
38,91.4712,-8.3907,158,999,1.000000,0
39,93.9302,-8.7489,95,999,1.000000,0
40,94.5730,91.9909,86,921,0.929701,0
41,91.4006,-1.1008,157,999,1.000000,0
42,94.5935,92.6224,86,531,0.877735,0
43,91.3722,-1.1734,157,999,1.000000,0
44,90.5552,-7.7750,160,999,1.000000,0
45,94.6072,91.6070,86,692,0.952583,0
46,94.2605,-1.0935,90,999,1.000000,0
47,91.4723,-6.2128,157,999,1.000000,0
48,91.3810,92.0826,159,458,0.331458,0
49,90.8837,90.2026,158,627,0.663988,0
