pair_id,R_tau1,R_tau2,len_tau1,len_tau2,p_tau1_preferred,preferred
0,500.0000,29.0000,500,29,1.000000,0
1,500.0000,12.0000,500,12,1.000000,0
2,500.0000,32.0000,500,32,1.000000,0
3,500.0000,12.0000,500,12,1.000000,0
4,500.0000,15.0000,500,15,1.000000,0
5,500.0000,10.0000,500,10,1.000000,0
6,500.0000,18.0000,500,18,1.000000,0
7,500.0000,20.0000,500,20,1.000000,0
8,500.0000,39.0000,500,39,1.000000,0
9,500.0000,13.0000,500,13,1.000000,0
10,500.0000,12.0000,500,12,1.000000,0
11,500.0000,12.0000,500,12,1.000000,0
12,500.0000,11.0000,500,11,1.000000,0
13,500.0000,20.0000,500,20,1.000000,0
14,500.0000,18.0000,500,18,1.000000,0
15,500.0000,20.0000,500,20,1.000000,0
16,500.0000,12.0000,500,12,1.000000,0
17,500.0000,16.0000,500,16,1.000000,0
18,500.0000,16.0000,500,16,1.000000,0
19,500.0000,46.0000,500,46,1.000000,0
20,500.0000,21.0000,500,21,1.000000,0
21,500.0000,49.0000,500,49,1.000000,0
22,500.0000,30.0000,500,30,1.000000,0
23,500.0000,14.0000,500,14,1.000000,0
24,500.0000,28.0000,500,28,1.000000,0
25,500.0000,14.0000,500,14,1.000000,0
26,500.0000,29.0000,500,29,1.000000,0
27,500.0000,13.0000,500,13,1.000000,0
28,500.0000,14.0000,500,14,1.000000,0
29,500.0000,31.0000,500,31,1.000000,0
30,500.0000,29.0000,500,29,1.000000,0
31,500.0000,34.0000,500,34,1.000000,0
32,500.0000,17.0000,500,17,1.000000,0
33,500.0000,10.0000,500,10,1.000000,0
34,500.0000,89.0000,500,89,1.000000,0
35,500.0000,15.0000,500,15,1.000000,0
36,500.0000,23.0000,500,23,1.000000,0
37,500.0000,28.0000,500,28,1.000000,0
38,500.0000,35.0000,500,35,1.000000,0
39,500.0000,23.0000,500,23,1.000000,0
40,500.0000,31.0000,500,31,1.000000,0
41,500.0000,14.0000,500,14,1.000000,0
42,500.0000,17.0000,500,17,1.000000,0
43,500.0000,28.0000,500,28,1.000000,0
44,500.0000,9.0000,500,9,1.000000,0
45,500.0000,18.0000,500,18,1.000000,0
46,500.0000,12.0000,500,12,1.000000,0
47,500.0000,24.0000,500,24,1.000000,0
48,500.0000,61.0000,500,61,1.000000,0
49,500.0000,16.0000,500,16,1.000000,0
