pair_id,R_tau1,R_tau2,len_tau1,len_tau2,p_tau1_preferred,preferred
0,94.5837,91.8645,86,537,0.938151,1
1,93.6794,-1.0945,99,999,1.000000,0
2,91.4697,92.3277,158,803,0.297754,1
3,94.5644,-1.2417,86,999,1.000000,0
4,91.5917,91.5817,157,623,0.502499,0
5,94.5969,91.8643,86,537,0.938921,0
6,93.9942,90.5503,94,855,0.969050,0
7,93.9962,89.1464,94,635,0.992231,0
8,94.2499,92.2964,90,841,0.875832,0
9,94.4454,-1.1326,87,999,1.000000,0
10,94.2518,92.5957,90,454,0.839715,0
11,94.1871,91.9116,91,543,0.906824,1
12,94.0667,-1.1016,93,999,1.000000,0
13,93.9240,-5.5565,95,999,1.000000,0
14,93.9293,92.7208,95,453,0.770043,0
15,94.4447,-1.0947,87,999,1.000000,0
16,94.4475,-6.5548,87,999,1.000000,0
17,94.3789,92.0666,88,535,0.909894,0
18,93.5698,-8.0680,101,999,1.000000,0
19,94.4479,91.8424,87,918,0.931216,0
20,94.4500,-1.1765,87,999,1.000000,0
21,94.1265,92.6450,92,532,0.814805,0
22,94.5798,92.1914,87,457,0.915934,1
23,94.6185,-1.1692,86,999,1.000000,0
24,94.3773,-1.2800,88,999,1.000000,0
25,94.2516,87.2672,90,881,0.999075,0
26,91.4742,86.7340,158,658,0.991339,0
27,91.4020,92.6203,159,533,0.228227,1
28,94.5634,92.4231,86,455,0.894759,0
29,94.5505,92.5757,86,531,0.878122,0
30,93.5196,-1.2407,102,999,1.000000,0
31,94.4459,92.7906,87,454,0.839601,0
32,91.2759,91.9191,158,689,0.344526,0
33,94.5929,-1.6001,87,999,1.000000,0
34,94.5741,92.6438,86,531,0.873282,0
35,94.3257,92.2509,89,801,0.888427,0
36,94.3871,-1.1062,88,999,1.000000,0
37,90.6498,92.0061,159,612,0.204845,1
38,94.0661,90.2318,93,550,0.978841,0
39,94.4460,-1.3737,87,999,1.000000,0
40,94.5748,91.0248,86,850,0.972077,0
41,94.5589,-1.0934,86,999,1.000000,0
42,94.5969,91.0296,86,888,0.972541,0
43,94.5292,-1.4014,86,999,1.000000,0
44,94.1303,91.4605,92,541,0.935216,0
45,94.4471,-1.1094,87,999,1.000000,0
46,94.3247,91.3171,89,771,0.952919,1
47,93.9989,-1.7416,94,999,1.000000,0
48,94.3201,90.8346,89,966,0.970272,0
49,91.5020,92.0389,157,764,0.368900,1
50,94.4490,90.0115,87,935,0.988312,0
51,94.3767,90.5787,88,482,0.978076,0
52,90.9817,-14.7377,158,999,1.000000,0
53,94.5681,-1.1548,86,999,1.000000,0
54,94.5608,90.5370,86,627,0.982428,0
55,94.6074,-7.9080,86,999,1.000000,0
56,94.6322,92.4472,86,687,0.898889,0
